transaction_id,date,product_id,category,quantity,unit_price,customer_id
TXN001,2024-01-05,PROD001,Electronics,2,299.99,CUST001
TXN002,2024-01-08,PROD002,Clothing,3,49.99,CUST002
TXN003,2024-01-12,PROD003,Electronics,1,899.99,CUST003
TXN004,2024-01-15,PROD004,Home,4,29.99,CUST001
TXN005,2024-01-18,PROD005,Clothing,2,79.99,CUST004
TXN006,2024-01-22,PROD001,Electronics,1,299.99,CUST005
TXN007,2024-01-25,PROD006,Home,3,59.99,CUST002
TXN008,2024-02-02,PROD002,Clothing,5,49.99,CUST006
TXN009,2024-02-08,PROD003,Electronics,2,899.99,CUST007
TXN010,2024-02-14,PROD007,Clothing,1,129.99,CUST003
TXN011,2024-02-18,PROD004,Home,2,29.99,CUST008
TXN012,2024-02-22,PROD008,Electronics,1,1499.99,CUST009
TXN013,2024-02-28,PROD005,Clothing,3,79.99,CUST010
TXN014,2024-03-05,PROD001,Electronics,2,299.99,CUST002
TXN015,2024-03-10,PROD009,Home,5,19.99,CUST011
TXN016,2024-03-15,PROD006,Home,2,59.99,CUST004
TXN017,2024-03-20,PROD002,Clothing,4,49.99,CUST012
TXN018,2024-03-25,PROD010,Electronics,1,599.99,CUST001
TXN019,2024-03-28,PROD007,Clothing,2,129.99,CUST013
TXN020,2024-03-31,PROD003,Electronics,1,899.99,CUST014
